product_id,title,price,category,product_url
118,Похила скандинавська поличка для дому чи магазину дерев’яна підлогова в скандинавському стилі,2400.0,"Стелажі, полички, тумби та вітрини",https://www.wood-wam.in.ua/product/pohyla-skandynavska-polychka-dlya-domu-chy-magazynu-derevyana-pidlogova-v-skandynavskomu-styli-2/
119,Поличка настольна на дві сходинки,520.0,"Стелажі, полички, тумби та вітрини",https://www.wood-wam.in.ua/product/polychka-nastolna-na-dvi-shodynky/
120,Поличка з дерева та резинки,2300.0,"Стелажі, полички, тумби та вітрини",https://www.wood-wam.in.ua/product/polychka-z-dereva-ta-rezynky/
121,Поличка для журналів ( Чорна / Біла ),750.0,"Стелажі, полички, тумби та вітрини",https://www.wood-wam.in.ua/product/polychka-dlya-zhurnaliv-bila-2/
122,Органайзер для кав’ярні середній,580.0,Органайзери,https://www.wood-wam.in.ua/product/organajzer-dlya-kavyarni-serednij/
123,Органайзер для кав’ярні великий,950.0,Органайзери,https://www.wood-wam.in.ua/product/organajzer-dlya-kavyarni-velykyj/
124,Органайзер для кав’ярні малий,480.0,Органайзери,https://www.wood-wam.in.ua/product/organajzer-dlya-kavyarni-malyj/
125,Пітчер для молока VD Coffee,220.0,Професійні інструменти бариста,https://www.wood-wam.in.ua/product/pitcher-dlya-moloka-vd-coffee/
126,Органайзер “Каса”,850.0,Органайзери,https://www.wood-wam.in.ua/product/organaizer_kasa/
127,Органайзер “Каса з підставкою для планшета”,1550.0,Органайзери,https://www.wood-wam.in.ua/product/organajzer-kasa-z-pidstavkoyu-dlya-plansheta/
128,Нок-Бокс Врізний VD Coffee M,750.0,Професійні інструменти бариста,https://www.wood-wam.in.ua/product/nok-boks-vriznyj-vd-coffee-m/
